Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
27-04-2007,60.18033193,51.15747003,12.60586461,70.03840643,53.01302595,51.20994344,21.50591624,18.21705446,29.72482851,,57.62999054,194.4990352,28.44213252,75.24566267,15.1769685,45.06287129,39.47786522,34.05338222,33.41611354,22.85338526,11.53098484,16.25300703,43.87962166,40.08701425,51.46881625,46.37823574,19.80465467,,36.49179533,35.90291793
30-04-2007,61.08063855,49.94727562,12.59072546,69.27857688,52.19368146,51.01974258,21.27518314,18.26254461,29.72482851,,56.92718577,189.5819248,27.99853284,76.01916756,14.92020223,45.09798339,39.13980548,33.58727873,33.14548555,22.71681125,11.47558839,16.16138917,44.86896848,40.40818839,51.04301425,46.29970251,19.95623424,,36.17473795,35.00973117
01-05-2007,61.7005218,50.4823956,12.5490928,69.44991099,52.63928986,51.38702701,21.37065891,18.41651126,30.14121404,,57.12798713,189.5559083,28.41255921,76.73317207,15.01735704,45.33674568,39.2600045,34.18556083,32.84908346,22.90839424,11.29022333,16.24079131,43.8656872,40.66214004,51.49923068,46.02919916,20.12872133,,36.48424635,35.27290227
02-05-2007,62.29826636,51.65142693,12.66515961,69.89686955,52.75428558,51.57722788,22.01512032,18.4445052,30.33666031,,57.24273077,190.3450742,28.6491457,76.02660511,15.21860628,45.28056632,39.47786522,34.79775646,33.01017155,23.22517008,11.39462434,16.24689917,43.45462056,40.7816467,52.00867235,46.93669427,20.69845143,,36.44650142,35.55202313
03-05-2007,62.03998167,52.24417522,12.66642121,69.91176817,52.72553665,52.18062373,22.03898927,18.51449004,30.32816265,,57.85947781,192.1402097,28.87833887,76.45798283,15.16482415,45.16820759,39.5905518,34.72123201,33.21636431,23.49831811,11.35201169,16.4118113,43.19683301,41.08041334,51.65130282,46.4131394,21.46680304,,36.5068933,35.52809849
04-05-2007,62.14329554,52.18654691,12.71814663,69.73298475,52.53866861,52.01009881,22.20607186,18.61946731,30.46412527,,57.7662486,197.1527138,28.76004562,76.57698358,15.27643279,45.28056632,39.53796473,34.72818878,33.45477468,23.18723286,11.35414232,16.5400763,43.48248948,40.85633836,51.70452807,46.74472415,21.25250089,,36.43895244,35.7434203
07-05-2007,62.67462404,52.08775553,13.11050291,70.44066913,52.22961762,52.19374103,22.12650872,18.75943699,30.64257621,,57.96704996,197.048648,28.71568565,76.42823264,15.31828604,45.12607307,39.61308912,34.4360045,33.52565344,23.30104454,11.47771902,16.723312,43.32224317,41.96177493,52.50290681,46.46549488,21.34135788,,36.69561794,35.92684258
08-05-2007,62.5639306,52.08775553,13.25432482,69.91921748,52.77584728,52.5019976,22.56410598,18.57047792,31.05896175,,58.36148121,195.0800694,28.56042577,77.11992451,15.4508213,44.73281753,39.40274084,34.31078266,33.66096744,23.33139432,11.45215143,16.70498843,43.02265223,41.99912076,51.96305071,46.34333208,21.23159336,,36.31061968,35.87101841
09-05-2007,62.99194523,52.09598815,13.48393525,70.34382811,53.72456195,52.30523809,21.09218792,18.58447489,30.6935622,,58.13916542,196.4849581,28.9670588,77.93375661,15.67403858,45.02073677,39.96617374,34.67253463,33.53854049,23.35408078,11.48837219,16.766067,43.20380024,42.3202949,52.29000581,46.32588025,21.51384497,,36.18228693,36.0065914
10-05-2007,62.46799629,51.65965955,13.54196865,69.38676923,53.04896211,51.2820886,20.91714902,18.36402263,30.32816265,,57.18535895,193.4757212,28.67871901,78.1577471,15.49267454,43.89012709,39.0646811,34.78384292,32.9135187,23.20240775,11.35840358,16.54383636,42.84150422,41.75263828,51.71973528,46.26479885,21.31522347,,36.0464052,35.46429943
11-05-2007,63.13215692,51.84077708,13.71859205,69.83539058,53.81799597,52.49543895,21.18766369,18.43750672,30.65107388,,58.51072815,197.2914683,28.73047231,79.12837254,15.54150332,43.72861142,39.17736768,35.23603288,33.50632287,23.43761855,11.29874587,16.69199012,42.95297992,42.39498657,52.00106874,46.76217598,21.61315573,,36.06905215,35.20112833
